Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
2020,Data Scientist,2.07,1,6352272,DE,DE,3,0
2020,Machine Learning Scientist,4.55,1,20688070,JP,JP,1,0
2020,Big Data Engineer,4.55,1,8674985,GB,GB,2,50
2020,Product Data Analyst,2.07,1,1591390,HN,HN,1,0
2020,Machine Learning Engineer,4.55,1,11935425,US,US,3,50
2020,Data Analyst,0.58,1,5729004,US,US,3,100
2020,Lead Data Scientist,4.55,1,15118205,US,US,1,100
2020,Data Scientist,2.07,1,2843416,HU,HU,3,50
2020,Business Data Analyst,2.07,1,10741883,US,US,3,100
2020,Lead Data Engineer,4.55,1,9946188,NZ,NZ,1,50
2020,Data Scientist,0.58,1,4083586,FR,FR,1,0
2020,Data Scientist,2.07,1,3221053,IN,IN,3,0
2020,Data Scientist,0.58,1,3176096,FR,FR,2,0
2020,Lead Data Analyst,2.07,1,6922547,US,US,3,100
2020,Data Analyst,2.07,1,6763408,US,US,3,100
2020,Data Analyst,2.07,1,636556,PK,PK,3,50
2020,Data Engineer,0.58,1,3317173,JP,JP,1,100
2020,Big Data Engineer,4.55,1,9074663,PL,GB,1,100
2020,Data Science Consultant,0.58,1,454103,IN,IN,2,50
2020,Lead Data Engineer,2.07,1,4455892,PT,US,2,100
2020,Machine Learning Engineer,2.07,1,3447826,CN,CN,2,0
2020,Product Data Analyst,2.07,1,483146,IN,IN,3,100
2020,Data Engineer,4.55,1,3811299,GR,GR,3,50
2020,BI Data Analyst,2.07,1,7797811,US,US,2,0
2020,Lead Data Scientist,2.07,1,9150493,AE,AE,3,0
2020,Director of Data Science,8.11,1,25860088,US,US,3,100
2020,Research Scientist,0.58,1,3341919,NL,NL,3,50
2020,Data Engineer,4.55,1,2666454,MX,MX,1,0
2020,Business Data Analyst,0.58,2,7956950,US,US,3,100
2020,Machine Learning Manager,4.55,1,9317907,CA,CA,3,50
2020,Data Engineering Manager,2.07,1,4718710,DE,DE,1,100
2020,Big Data Engineer,0.58,1,5569865,US,US,3,100
2020,Data Scientist,4.55,1,5444782,GR,US,3,100
2020,Research Scientist,2.07,1,35806275,US,US,2,0
2020,Data Analyst,2.07,1,3720590,FR,FR,3,50
2020,Data Engineer,2.07,1,5898487,AT,AT,3,50
2020,Data Science Consultant,2.07,1,8195659,US,US,3,100
2020,Machine Learning Engineer,0.58,1,19892375,US,US,3,50
2020,Data Analyst,0.58,1,795695,NG,NG,1,100
2020,Machine Learning Engineer,0.58,1,10980591,US,US,1,100
2020,Data Scientist,2.07,1,3641100,PH,US,1,100
2020,Data Engineering Manager,8.11,1,6352272,ES,ES,3,50
2020,Machine Learning Infrastructure Engineer,2.07,1,3992798,PT,PT,2,0
2020,Data Engineer,2.07,1,8434367,US,US,3,100
2020,Data Engineer,2.07,1,8981169,GB,GB,3,50
2020,ML Engineer,0.58,0,1270407,DE,DE,1,100
2020,Data Scientist,2.07,1,6123510,GB,GB,1,100
2020,Data Engineer,4.55,1,14959066,US,US,3,100
2020,Data Scientist,2.07,1,8354798,US,US,3,100
2020,Data Engineer,2.07,1,5580925,FR,FR,3,50
2020,Data Analyst,0.58,1,483146,IN,IN,1,0
2020,Data Analyst,0.58,1,7240825,US,US,3,100
